model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
observation_model_R_equals_1,(Intercept),0.5478475262212098,0.0347025676751314,1.7295262485199645,1.6159931805805694,1.851485448797032,3.826696320414849e-56,*
observation_model_R_equals_1,cannabis_any_use,0.5487798822425768,0.025849043064655543,1.731139534693556,1.6456882831260267,1.821184681992601,5.026777457241737e-100,*
observation_model_R_equals_1,age_group.L,0.46826319136147765,0.026817610998878916,1.5972177212791547,1.515537487412538,1.6835368052302815,2.8375262713754615e-68,*
observation_model_R_equals_1,age_group.Q,-0.0860463235894016,0.026274851657697922,0.9175517259462527,0.8714903946499931,0.9660380367790286,0.0010571630176492571,*
observation_model_R_equals_1,age_group.C,-0.0029835427811375666,0.026144056436888313,0.9970209035595774,0.9471324463173271,1.0493501248383357,0.9091431817051647,
observation_model_R_equals_1,genderMale,0.1378114284845872,0.027484641958412843,1.1477590951942793,1.0876359988510151,1.2113644513617603,5.327536427548492e-7,*
observation_model_R_equals_1,genderNon-binary,-0.22608393673125338,0.0675973377489586,0.7976511466257917,0.6990516927783393,0.9112099373397586,8.24106311910073e-4,*
observation_model_R_equals_1,province_regionQuebec,0.03770529212786558,0.03592028922759372,1.0384251557110271,0.9678204751045548,1.1141608931913776,0.2938590786905203,
observation_model_R_equals_1,province_regionOntario,-0.24098017069017869,0.03405654941854164,0.7858572092399237,0.7350750099706599,0.8400625466505871,1.4849974977582763e-12,*
observation_model_R_equals_1,province_regionWestern,-0.2343944343375125,0.0383309341588434,0.7910497371733265,0.7338060140346888,0.8527833461473199,9.654477030725563e-10,*
observation_model_R_equals_1,mental_health.L,-0.04559879097134498,0.048069655579852544,0.955425210524895,0.8693592356317051,1.0496408339440406,0.34282498340922324,
observation_model_R_equals_1,mental_health.Q,-0.2144887159625795,0.0383714863431301,0.8069539173787266,0.748629610836089,0.8701554867931446,2.2733874589885547e-8,*
observation_model_R_equals_1,mental_health.C,0.09337819816888344,0.031630934954898944,1.0978768717837668,1.0318781194120472,1.1680989810368603,0.003156040533749486,*
observation_model_R_equals_1,mental_health^4,-0.02914758940775805,0.025406322718511103,0.9712731042654116,0.9240783273590639,1.020849606691878,0.2512752927457324,
observation_model_R_equals_1,physical_health.L,-0.3728474591920542,0.05754449810243011,0.6887702904075571,0.6154473812164524,0.7712125873813629,9.215556883790061e-11,*
observation_model_R_equals_1,physical_health.Q,-0.13018841572694448,0.04749736704057081,0.8779299995170463,0.8001022726775573,0.9638765445384819,0.006125983693565341,*
observation_model_R_equals_1,physical_health.C,0.07397438104569433,0.03617377621182298,1.0767792191852417,1.0031247249226205,1.155960204873941,0.04085755989501438,*
observation_model_R_equals_1,physical_health^4,0.006840674156755959,0.025713799946758386,1.0068641250109363,0.9573671132205879,1.0588999993522312,0.7902151474708647,
