model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
selection_adjusted_ipw,(Intercept),0.47116332018404183,0.04847797808580914,1.6018565818237749,1.4566553805334397,1.761531617583067,2.772698425704332e-22,*
selection_adjusted_ipw,cannabis_any_use,1.203024081138883,0.03768882665075403,3.3301724223616773,3.093030181262679,3.585496329728962,1.436249143938212e-218,*
selection_adjusted_ipw,genderMan,-0.41433446743214297,0.03847707601362714,0.6607799049435571,0.6127781465513213,0.7125418640245973,5.674855980619763e-27,*
selection_adjusted_ipw,genderTransgender/Non-binary,-0.846869853730732,0.10618242306034512,0.42875489925616705,0.3481941361090041,0.5279547946741319,1.5901692890231357e-15,*
selection_adjusted_ipw,age_group.L,-0.48353555716897667,0.03885023851794922,0.6165995106424549,0.5713891155577132,0.6653871174172082,1.9350336266112267e-35,*
selection_adjusted_ipw,age_group.Q,-0.12239666113403902,0.03753172303279552,0.8847973341724245,0.8220438365397108,0.9523413323722557,0.0011113021166763903,*
selection_adjusted_ipw,age_group.C,9.759803780027323e-4,0.03680290464649131,1.0009764568018327,0.9313125182076657,1.075851389821149,0.978843531044842,
selection_adjusted_ipw,province_regionQuebec,-0.27731062956600677,0.0457493302401933,0.7578190595398897,0.6928216793359145,0.8289141984592527,1.3704573929012895e-9,*
selection_adjusted_ipw,province_regionOntario,-0.3216839415095375,0.045199971902274025,0.7249272735459202,0.6634650115898949,0.792083294145975,1.1378560182885135e-12,*
selection_adjusted_ipw,province_regionWestern,-0.4604879549501721,0.051017257629349035,0.6309756826692442,0.5709318237529362,0.6973342447489929,1.9219778878961158e-19,*
selection_adjusted_ipw,mental_health.L,0.32639712098790474,0.07041232169733874,1.3859656556507123,1.2072968731393772,1.5910757671792208,3.581111108504476e-6,*
selection_adjusted_ipw,mental_health.Q,0.05663398536712147,0.05648828712466123,1.0582683977813814,0.9473495431667301,1.182174003060313,0.3160749923800398,
selection_adjusted_ipw,mental_health.C,0.08011791106338116,0.0453576315622249,1.0834148067358313,0.9912521555324898,1.1841463717411975,0.07734939502847447,
selection_adjusted_ipw,mental_health^4,-0.014974223234679509,0.03557670956219043,0.9851373329296217,0.9187813097965475,1.0562857062760587,0.6738325231104256,
selection_adjusted_ipw,physical_health.L,-0.33595715281564115,0.09150060704174241,0.7146537260600102,0.5973184033354185,0.8550380254811278,2.415738652646006e-4,*
selection_adjusted_ipw,physical_health.Q,-0.053007031095100826,0.07555577252211666,0.9483733443556809,0.817829158580586,1.0997553594755498,0.4829600481780414,
selection_adjusted_ipw,physical_health.C,0.07051040271984588,0.0568496080509129,1.0730557320708116,0.9599069311345211,1.199541920974693,0.21487883376064532,
selection_adjusted_ipw,physical_health^4,0.027261323272737358,0.039265708504045586,1.0276363129624664,0.9515126391765825,1.1098500936708129,0.4875151655932617,
