model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
ebac_legal_sensitivity_with_heavy_drinking,(Intercept),-0.8587321625546578,0.07281138459719254,0.42369892329279507,0.36734721014787275,0.48869508911530646,5.25248393210995e-32,*
ebac_legal_sensitivity_with_heavy_drinking,cannabis_any_use,0.6896986213469253,0.055727688544491435,1.9931147604756505,1.7868749857409993,2.2231585757962526,4.613842369157925e-35,*
ebac_legal_sensitivity_with_heavy_drinking,age_group.L,-0.35811445083968907,0.05823161460981477,0.6989930700844897,0.6235959263537855,0.7835062600279837,7.891975531109385e-10,*
ebac_legal_sensitivity_with_heavy_drinking,age_group.Q,-0.05627963243285336,0.05591805445598096,0.9452747694459078,0.8471452522490291,1.054771171034487,0.3142025615874487,
ebac_legal_sensitivity_with_heavy_drinking,age_group.C,-0.06666872588630031,0.05442948240876276,0.9355050586192502,0.8408394910097134,1.0408285101491466,0.22063965510243505,
ebac_legal_sensitivity_with_heavy_drinking,genderMan,-1.08814334938747,0.06355379481014263,0.33684131011911767,0.2973892371958505,0.38152715031862877,2.7458283116979785e-65,*
ebac_legal_sensitivity_with_heavy_drinking,genderTransgender/Non-binary,-0.43737123220416263,0.1461510152404635,0.6457316705185515,0.48488772439512373,0.859929772053583,0.0027692451679752705,*
ebac_legal_sensitivity_with_heavy_drinking,province_regionQuebec,-0.2266789815809463,0.06819480002760915,0.7971766496066449,0.6974351272691661,0.9111823965138711,8.888534285064447e-4,*
ebac_legal_sensitivity_with_heavy_drinking,province_regionOntario,-0.2320712270375724,0.06744680737052208,0.7928896461147414,0.6947022779445344,0.9049545551744308,5.810788315744968e-4,*
ebac_legal_sensitivity_with_heavy_drinking,province_regionWestern,-0.3371899063460579,0.07493403844147606,0.7137732769560551,0.6162724636945716,0.8266997487479547,6.836262764128828e-6,*
ebac_legal_sensitivity_with_heavy_drinking,mental_health.L,0.34077315838982286,0.11431551813824459,1.4060342576092393,1.1237894167691154,1.7591661783525492,0.0028763842478390436,*
ebac_legal_sensitivity_with_heavy_drinking,mental_health.Q,-0.11206771242359839,0.09295937488126498,0.8939837216464155,0.7450716536418069,1.0726577647429791,0.22800193928021506,
ebac_legal_sensitivity_with_heavy_drinking,mental_health.C,0.09635167235324056,0.07126020302856244,1.1011462385996766,0.9576015201804078,1.266208347866639,0.17635402120029597,
ebac_legal_sensitivity_with_heavy_drinking,mental_health^4,-0.04686461416006595,0.05358700338672628,0.9542165762583483,0.8590749914608733,1.0598949840896101,0.38182744736005625,
ebac_legal_sensitivity_with_heavy_drinking,physical_health.L,-0.20362352483505758,0.13339958338858143,0.8157694303144308,0.628074515340256,1.059555430417378,0.12692034926132886,
ebac_legal_sensitivity_with_heavy_drinking,physical_health.Q,-0.08599109479352009,0.11025361293308372,0.9176024026226287,0.7392669146983576,1.1389582741470028,0.43543526247419806,
ebac_legal_sensitivity_with_heavy_drinking,physical_health.C,0.04370590759094901,0.08328554056050583,1.0446750786962913,0.8873286532291794,1.2299231136935116,0.5997471515718945,
ebac_legal_sensitivity_with_heavy_drinking,physical_health^4,0.036951469744094426,0.05690463838361998,1.0376426625522646,0.9281278528202973,1.1600797151780147,0.5161140075071482,
ebac_legal_sensitivity_with_heavy_drinking,heavy_drinking_30d,5.171131206930378,0.09201669466441971,176.11394616271002,147.04986628456243,210.92247695745158,0,*
