endpoint,target_power,gender,block_id,block_size,unit_in_block,assignment,analysis_mode,design_mode
ebac_legal,0.8,Woman,1,4,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,1,4,2,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,1,4,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,1,4,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,2,6,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,2,6,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,2,6,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,2,6,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,2,6,5,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,2,6,6,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,3,4,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,3,4,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,3,4,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,3,4,4,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,4,6,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,4,6,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,4,6,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,4,6,4,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,4,6,5,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,4,6,6,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,1,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,2,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,3,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,5,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,6,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,7,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,5,8,8,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,6,6,1,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,6,6,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,6,6,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,6,6,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,6,6,5,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,6,6,6,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,7,6,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,7,6,2,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,7,6,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,7,6,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,7,6,5,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,7,6,6,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,8,6,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,8,6,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,8,6,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,8,6,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,8,6,5,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,8,6,6,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,9,6,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,9,6,2,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,9,6,3,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,9,6,4,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,9,6,5,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,9,6,6,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,1,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,4,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,5,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,6,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,7,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,10,8,8,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,11,4,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,11,4,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,11,4,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,11,4,4,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,12,4,1,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,12,4,2,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,12,4,3,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,12,4,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,13,4,1,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,13,4,2,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,13,4,3,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,13,4,4,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,14,6,1,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,14,6,2,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,14,6,3,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,14,6,4,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,14,6,5,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,14,6,6,Control,observational,prospective_trial_planning
ebac_legal,0.8,Woman,15,6,1,Treatment,observational,prospective_trial_planning
ebac_legal,0.8,Woman,15,6,2,Treatment,observational,prospective_trial_planning
