model,term,estimate,se,ci_lower95,ci_upper95,p_value,significant
ebac_tot_primary,(Intercept),0.12948263201295426,0.0021497201222803026,0.1252690248963691,0.13369623912953943,0,*
ebac_tot_primary,cannabis_any_use,0.058157772089698315,0.001559183150630066,0.055101660202637556,0.06121388397675907,2.774574948595095e-295,*
ebac_tot_primary,age_group.L,-0.03159838942448883,0.0015842534589311696,-0.034703640931343656,-0.028493137917634002,9.921080743468521e-88,*
ebac_tot_primary,age_group.Q,-0.008827160141060665,0.0015596342080091373,-0.011884156133248757,-0.005770164148872572,1.534789027043703e-8,*
ebac_tot_primary,age_group.C,0.001238075274651722,0.0015775510358248658,-0.001854038997543399,0.0043301895468468455,0.43257442280257763,
ebac_tot_primary,genderMale,-0.013690966607523575,0.0016301023665866627,-0.01688608529363703,-0.01049584792141012,4.780028206619788e-17,*
ebac_tot_primary,genderNon-binary,-0.03854691250614763,0.004201481884190859,-0.04678212125911382,-0.030311703753181443,4.923158707503121e-20,*
ebac_tot_primary,province_regionQuebec,-0.015376208179758242,0.0019390612515304236,-0.019176908654328112,-0.01157550770518837,2.3010358026118814e-15,*
ebac_tot_primary,province_regionOntario,-0.013157037367645199,0.0019086871199728858,-0.016898202344749855,-0.00941587239054054,5.601934624850558e-12,*
ebac_tot_primary,province_regionWestern,-0.018630540899337206,0.0021708306408020103,-0.022885526160991567,-0.014375555637682842,9.916441317608574e-18,*
ebac_tot_primary,mental_health.L,0.015023680720583259,0.0032128017250875962,0.00872635667700199,0.02132100476416453,2.9399407910561204e-6,*
ebac_tot_primary,mental_health.Q,0.00901506325217914,0.0024533014125406394,0.004206414822147924,0.01382371168221036,2.3872923710878651e-4,*
ebac_tot_primary,mental_health.C,0.0038481827464519284,0.0019425126140188295,4.071735146644927e-5,0.00765564814143741,0.047600006604387374,*
ebac_tot_primary,mental_health^4,-1.420450551698544e-5,0.001476011871643217,-0.0029072946627244907,0.002878885651690522,0.9923217072851898,
ebac_tot_primary,physical_health.L,-0.015831814688856305,0.003968701896834018,-0.023610757809306118,-0.008052871568406486,6.652145383646694e-5,*
ebac_tot_primary,physical_health.Q,-9.561893178541836e-4,0.0032639115751688028,-0.0073536923688316954,0.005441313733123333,0.7695569605806987,
ebac_tot_primary,physical_health.C,0.0035477122767430783,0.002433375769405575,-0.0012218804497822404,0.0083173050032684,0.1448718422524338,
ebac_tot_primary,physical_health^4,0.0013976894513841288,0.0016713529462345385,-0.0018782833580945474,0.004673662260862807,0.4030164925621287,
