model,term,log_odds,se,or,or_lower95,or_upper95,p_value,significant
weighted_main,(Intercept),0.4741759860634896,0.04888489727505509,1.6066897171470202,1.4598855573808431,1.7682563089515817,3.34711861813053e-22,*
weighted_main,cannabis_any_use,1.1989368006501866,0.03740024177851806,3.316588852436356,3.082156820593943,3.568852026804208,2.1730064983178867e-220,*
weighted_main,genderMale,-0.41241077658162334,0.03794190396901553,0.6620522646218671,0.6146024419795526,0.7131654076726318,1.892663810105911e-27,*
weighted_main,genderNon-binary,-0.8389501361726409,0.10576509371864183,0.43216399869350425,0.3512498873369437,0.5317175278909066,2.255576508866886e-15,*
weighted_main,age_group.L,-0.4948344260648854,0.03847223986193724,0.6096718447062331,0.5653881445190344,0.6574240401586412,1.0075371477396403e-37,*
weighted_main,age_group.Q,-0.13002487055819428,0.03721597048214364,0.8780735924686148,0.8163020217667748,0.9445195690217523,4.771523710081943e-4,*
weighted_main,age_group.C,-0.002628358196950696,0.03655813010486748,0.9973750929122093,0.92840711522775,1.07146645005797,0.9426858774469575,
weighted_main,province_regionQuebec,-0.27506775991944904,0.0456904673881079,0.7595206564227959,0.6944574506827144,0.8306795858634649,1.7692988127621736e-9,*
weighted_main,province_regionOntario,-0.3275812610679633,0.04488205507429061,0.7206647269107195,0.6599749895832046,0.7869353487793422,3.0045388432194287e-13,*
weighted_main,province_regionWestern,-0.47261371127732577,0.0508143806223698,0.6233708257943159,0.5642749890119666,0.6886556980522958,1.521192904519134e-20,*
weighted_main,mental_health.L,0.3177049383000687,0.0698537015907597,1.3739707952532596,1.1981594942137297,1.5755796747641737,5.441055062023234e-6,*
weighted_main,mental_health.Q,0.04401622882173322,0.056002994374759064,1.0449993138584073,0.936361465711037,1.166241463317055,0.431898226434155,
weighted_main,mental_health.C,0.07988528975328163,0.04506122847727564,1.0831628106750706,0.9915975185703704,1.1831833505604499,0.07627302773012726,
weighted_main,mental_health^4,-0.008760798556251712,0.03539217233323876,0.9912774654169023,0.9248423214155516,1.0624849130383176,0.8044965924973224,
weighted_main,physical_health.L,-0.3335632935491101,0.09156778283709743,0.7163665558232439,0.5986711805029293,0.8572001776850956,2.703093995298845e-4,*
weighted_main,physical_health.Q,-0.06031142559361616,0.07559889376721261,0.9414712896695308,0.8118085584730885,1.0918438590240518,0.42500575194148116,
weighted_main,physical_health.C,0.0603188048371386,0.0567519517471219,1.0621751191390716,0.9503555222863046,1.1871514998975445,0.2878617680342618,
weighted_main,physical_health^4,0.025033317985386508,0.039113342713420665,1.0253492825277324,0.9496786011427814,1.107049426948254,0.5221663590046846,
