model,term,estimate,se,ci_lower95,ci_upper95,p_value,significant
selection_adjusted_ipw,(Intercept),0.12931323374536008,0.0021316835042795574,0.12513497970621945,0.1334914877845007,0,*
selection_adjusted_ipw,cannabis_any_use,0.05874417842223816,0.0015855085958991007,0.055636466756032565,0.06185189008844376,1.715318578444203e-291,*
selection_adjusted_ipw,genderMale,-0.014049020724236756,0.0016482622779460312,-0.017279734151706225,-0.010818307296767284,1.646260513069101e-17,*
selection_adjusted_ipw,genderNon-binary,-0.03857097530566616,0.004257171486386666,-0.04691533971182646,-0.030226610899505853,1.408229742859146e-19,*
selection_adjusted_ipw,age_group.L,-0.03070638237661308,0.001584741098367393,-0.03381258969207643,-0.027600175061149722,6.0675174717139206e-83,*
selection_adjusted_ipw,age_group.Q,-0.008568665477840099,0.001560037586888216,-0.011626452121842792,-0.005510878833837404,4.0046356730151606e-8,*
selection_adjusted_ipw,age_group.C,0.0014170884062114396,0.0015751842963094866,-0.0016703868851406648,0.0045045636975635465,0.3683252770740105,
selection_adjusted_ipw,province_regionQuebec,-0.0153445282790999,0.001943141948991933,-0.0191532272162074,-0.0115358293419924,2.996470699554732e-15,*
selection_adjusted_ipw,province_regionOntario,-0.01303230598917341,0.0019180098523807628,-0.016791744196924568,-0.009272867781422252,1.1132468258404835e-11,*
selection_adjusted_ipw,province_regionWestern,-0.018427217429204293,0.0021698965149300597,-0.022680371736502763,-0.01417406312190582,2.1548181787033594e-17,*
selection_adjusted_ipw,mental_health.L,0.01498170343211416,0.003301008638593385,0.008511487450355489,0.021451919413872835,5.695109437480557e-6,*
selection_adjusted_ipw,mental_health.Q,0.009832651747472866,0.0025137867680458535,0.0049054476404656105,0.014759855854480124,9.200549862876936e-5,*
selection_adjusted_ipw,mental_health.C,0.0037165174091332584,0.001963965317443797,-1.329968381119052e-4,0.007566031656378425,0.0584570342838057,
selection_adjusted_ipw,mental_health^4,-1.152679458598642e-4,0.0014756486984336759,-0.0030076462572766476,0.0027771103655569217,0.9377385576715644,
selection_adjusted_ipw,physical_health.L,-0.01632599081308527,0.003956497545487694,-0.02408101252109018,-0.008570969105080359,3.698900955062381e-5,*
selection_adjusted_ipw,physical_health.Q,-8.372491404752588e-4,0.0032530762876625467,-0.0072135142432783,0.0055390159623277865,0.7968944181153288,
selection_adjusted_ipw,physical_health.C,0.0038883380704620224,0.0024250723403151293,-8.649793337341507e-4,0.008641655474658198,0.10886289103107755,
selection_adjusted_ipw,physical_health^4,0.0014342571084220185,0.0016681026011958406,-0.001835344789399615,0.004703859006243654,0.3899012862663872,
